facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
SK Rapid Wien,139208599454683,214407,16548,Sports Team,https://www.facebook.com/skrapid/
Real Betis Balompié,171931856195395,750999,17005,Sports Team,https://www.facebook.com/realbetisbalompie/
Real Madrid C.F.,19034719952,101587314,5191733,Sports Team,https://www.facebook.com/RealMadrid/
Real Sociedad de Fútbol,302193069794158,1207442,5747,Sports Team,https://www.facebook.com/RealSociedadFutbol/
Facultad de Contaduría y Ciencias Administrativas FCCA - UMSNH,122805601157133,9512,24,College & University,https://www.facebook.com/fcca.umsnh/
Roda JC Kerkrade,114931671870452,47808,2325,Sports Team,https://www.facebook.com/RodaJCKerkrade/
Ross County FC,24427197440,13380,974,Soccer Stadium,https://www.facebook.com/rosscountyfc/
Royal Mouscron-Peruwelz,161990157146670,1482,0,Sports Team,https://www.facebook.com/pages/Royal-Mouscron-Peruwelz/161990157146670
Rubin Kazan ( Рубин Казань ),25930107571,7427,7,Sports Team,https://www.facebook.com/fcrubin/
Ruch Chorzów,193749597309849,125650,5279,Sports Club,https://www.facebook.com/ruchchorzow/
Rotterdam Football Cup,453180794871438,968,730,Company,https://www.facebook.com/RotterdamFootballCup/
The Bastiat Society,200937436616402,11127,767,Non-Profit Organization,https://www.facebook.com/bastiatsociety/
SC Freiburg,171700106213736,233484,4775,Sports Team,https://www.facebook.com/SCFreiburg/
SCR Altach,208291122600055,15779,597,Sports Team,https://www.facebook.com/scraltach/
SD Eibar,29975688107,58766,1552,Sports Team,https://www.facebook.com/sdeibar/
SKN St. Pölten,299281833152,14165,615,Sports Team,https://www.facebook.com/SKN.StPoelten/
Sport Lisboa e Benfica,212504785715,3623526,144302,Stadium, Arena & Sports Venue,https://www.facebook.com/SLBenfica/
SMC | Stade Malherbe Caen,237927042913045,162058,2745,Sports Team,https://www.facebook.com/SMCaen.officiel/
SSC Napoli,114983868535196,3987386,61646,Sports Team,https://www.facebook.com/SSCNapoli/
SV Darmstadt 98,112455528770296,8868,0,Sports Team,https://www.facebook.com/pages/SV-Darmstadt-98/112455528770296
SV Mattersburg,107872475907088,4416,0,Sports Team,https://www.facebook.com/pages/SV-Mattersburg/107872475907088
SV Ried 1912,206169149418199,17764,909,Sports Team,https://www.facebook.com/svried1912/
SV Zulte Waregem - ESSEVEE,77583830994,35562,2068,Sports Team,https://www.facebook.com/esseveelive/
U.C. Sampdoria,203121013117037,288417,9432,Sports Team,https://www.facebook.com/sampdoria/
Sassuolo Calcio Femminile,290880244940,3002,360,Sports Team,https://www.facebook.com/Sassuolo-Calcio-Femminile-290880244940/
Sevilla FC,178217136832,1619456,8333,Sports Team,https://www.facebook.com/sevillafc/
FC Shakhtar Donetsk,103988626304295,13815,0,Sports Team,https://www.facebook.com/pages/FC-Shakhtar-Donetsk/103988626304295
Silkeborg IF,122451667870,14299,1247,Sports Team,https://www.facebook.com/Silkeborgifinvest/
